label,sign,accuracy_base,n_val,accuracy_me126,delta
236,weus,0.7567567567567568,37,0.7837837837837838,0.027027027027026973
147,morning,0.7567567567567568,37,0.7567567567567568,0.0
130,lamp,0.7567567567567568,37,0.7297297297297297,-0.027027027027027084
73,face,0.7567567567567568,37,0.6756756756756757,-0.08108108108108114
102,green,0.7631578947368421,38,0.868421052631579,0.10526315789473684
132,like,0.7631578947368421,38,0.8421052631578947,0.07894736842105254
121,hungry,0.7631578947368421,38,0.7631578947368421,0.0
204,stairs,0.7631578947368421,38,0.7368421052631579,-0.026315789473684292
163,outside,0.7692307692307693,39,0.7435897435897436,-0.02564102564102566
101,grass,0.7692307692307693,39,0.8717948717948718,0.10256410256410253
169,penny,0.7692307692307693,39,0.8717948717948718,0.10256410256410253
129,kitty,0.7692307692307693,39,0.6410256410256411,-0.1282051282051282
24,black,0.7692307692307693,39,0.8205128205128205,0.05128205128205121
206,sticky,0.7714285714285715,35,0.6,-0.17142857142857149
75,farm,0.775,40,0.775,0.0
78,find,0.775,40,0.85,0.07499999999999996
122,icecream,0.775,40,0.8,0.025000000000000022
239,who,0.775,40,0.8,0.025000000000000022
67,duck,0.7804878048780488,41,0.7804878048780488,0.0
123,if,0.7837837837837838,37,0.8648648648648649,0.08108108108108114
197,shower,0.7837837837837838,37,0.8918918918918919,0.10810810810810811
146,moon,0.7894736842105263,38,0.868421052631579,0.07894736842105265
120,hot,0.7894736842105263,38,0.8157894736842105,0.02631578947368418
211,table,0.7941176470588235,34,0.7058823529411765,-0.08823529411764697
213,taste,0.7948717948717948,39,0.8717948717948718,0.07692307692307698
182,radio,0.7948717948717948,39,0.8205128205128205,0.02564102564102566
242,wolf,0.7948717948717948,39,0.8205128205128205,0.02564102564102566
30,brother,0.8,40,0.8,0.0
195,shirt,0.8,35,0.8857142857142857,0.08571428571428563
148,mouse,0.8048780487804879,41,0.8048780487804879,0.0
218,thirsty,0.8055555555555556,36,0.8055555555555556,0.0
157,now,0.8108108108108109,37,0.8648648648648649,0.05405405405405406
117,high,0.8108108108108109,37,0.7837837837837838,-0.027027027027027084
141,many,0.8157894736842105,38,0.8157894736842105,0.0
156,not,0.8157894736842105,38,0.7368421052631579,-0.07894736842105265
142,milk,0.8157894736842105,38,0.8157894736842105,0.0
131,later,0.8157894736842105,38,0.7631578947368421,-0.05263157894736836
94,girl,0.8157894736842105,38,0.7631578947368421,-0.05263157894736836
114,hen,0.8157894736842105,38,0.8421052631578947,0.02631578947368418
44,chocolate,0.8205128205128205,39,0.8974358974358975,0.07692307692307698
140,man,0.8205128205128205,39,0.7692307692307693,-0.05128205128205121
212,talk,0.8205128205128205,39,0.9230769230769232,0.10256410256410275
100,grandpa,0.8205128205128205,39,0.8717948717948718,0.05128205128205132
87,food,0.8205128205128205,39,0.8461538461538461,0.02564102564102566
113,hello,0.8205128205128205,39,0.8717948717948718,0.05128205128205132
193,see,0.8205128205128205,39,0.8974358974358975,0.07692307692307698
82,fireman,0.825,40,0.85,0.025000000000000022
59,doll,0.825,40,0.875,0.050000000000000044
33,bye,0.825,40,0.9,0.07500000000000007
245,yesterday,0.825,40,0.85,0.025000000000000022
158,nuts,0.825,40,0.825,0.0
109,haveto,0.8285714285714286,35,0.7714285714285715,-0.05714285714285716
57,dirty,0.8333333333333334,36,0.75,-0.08333333333333337
214,thankyou,0.8333333333333334,36,0.7777777777777778,-0.05555555555555558
79,fine,0.8333333333333334,36,0.8055555555555556,-0.02777777777777779
91,garbage,0.8378378378378378,37,0.7567567567567568,-0.08108108108108103
237,where,0.8378378378378378,37,0.945945945945946,0.10810810810810823
155,nose,0.8421052631578947,38,0.868421052631579,0.026315789473684292
89,frenchfries,0.8421052631578947,38,0.868421052631579,0.026315789473684292
183,rain,0.8421052631578947,38,0.8421052631578947,0.0
243,yellow,0.8421052631578947,38,0.8947368421052632,0.052631578947368474
55,dad,0.8421052631578947,38,0.8421052631578947,0.0
